resume_text,true_label,predicted_label
sale director continue career organization utilize management supervision administrative benefit mutual growth success also offer company especially field sale grasp power enhance professional skill set accordance organizational objective core qualification budget report writing excellent sale negotiation ability motivate lead team excellent communication people good planning organizational ability work calmly pressure developing sale strategy setting sale target compiling analyzing sale figure keeping date product competitor sound expertise sale strong presentation goal oriented strong networking good judgement good decision making accomplishment added number business wavefly powered jmf solution inc since january number developed highly effective sale training strategy sale manager personally helped grow company revenue number year made inc number list magazine recognized one fastest growing technology company revenue attributed bringing number number revenue number month contract since january number vmware federal specialization certification lenovo partner certification vmware academic specialization certification sale director number number current jmf solution inc full service telecommunication firm behind wavefly technology provides seamless approach technology based service analyzing specific need creating custom cost efficient solution day day duty included led sale call team member establish sale customer retention goal negotiated closed number contract company included number month contract worked hoa mdu closed number unit condo association number month agreement c reated directed sale team training development program shared product knowledge customer making personal recommendation maintained friendly professional customer interaction trained negotiation time management helped grow company show number growth margin last year also time bid service usac e rate worked hand hand vendor ingram micro cisco h etc work right price u competitive bidder store trainer key holder worked college number number number number conducted daily pre shift weekly departmental meeting ensure organizational efficiency scheduled directed staff daily work assignment maximize productivity efficiently resolved problem concern satisfaction involved party trained new staff front house menu item food drink lead bartender store trainer worked college number number number number trained staff employee correct facility procedure safety code bar code proper recipe drinking safety increased customer attendance daily set received frequent customer compliment going beyond normal duty maintained professional tone time including peak rush hour receptionist number number number number handled incoming outgoing correspondence including mail email fax screened telephone call inquiry directed appropriate devised maintained office system efficiently deal paper flow organized personal professional calendar supplied reminder upcoming meeting event created expense report using microsoft excel spreadsheet typed document updated website compiled information meeting conducted extensive online phone research attended business meeting took meeting minute nursing number university mobile usa attended university mobile program center adult program professional study nursing bachelor science leadership cultural study number university mobile usa degree leadership cultural study minor international business number year college made dean list graduated number number gpa degree includes study philosophy world politics religion ethic emphasizes communication critical thinking interpersonal relation designed build necessary position human resource management counseling service oriented position bachelor science leadership cultural study develops proficiency communication critical thinking interpersonal relation emphasis communication includes composition art logic counseling critical thinking involves study philosophy world politics religion well ethic psychology interpersonal preparation add consideration world conflict resolution investigation tradition leadership sale software ubersmith desktop publishing software photoshop illustrator html cold calling achieving result customer satisfaction building relationship microsoft office microsoft excel planning negotiation,SALES,BUSINESS-DEVELOPMENT
consultant professional number year non profit social service sector specific target population underserved native american latino youth adult family passionate helping others become empowered self sufficient community resource wrap around service extensive work following area operational management case management grant writing program development management fundraising community outreach direct client service microsoft word power point excel office project evaluation medium relation employee volunteer training grant certification project coordination work history consultant assist individual esl english second language tutoring preparation citizenship exam provide event coordination golden boy promotion gbp marketing outreach community serve personal assistant vp digital marketing mr scott tetreault e lead employment specialist number number number number develop maintain relationship community referral source department rehabilitation dor work source center america exchange others maintain close client training placement resolve problem evaluate placement adequacy locate barrier client employment inaccessible work site inflexible schedule transportation problem work client develop strategy overcoming barrier participate development placement program contacting prospective employer placing client job evaluating success placement collaborate community agency establish facility program person disability coordinate recruitment placement training program participant provide intake placement retention client disability including veteran greater los angeles area interim director program manager grant writer number number number number assure aic mission empower albuquerque urban native american community others provision wrap around service designed promote wellness self sufficiency tradition program service consistently presented strong positive imagery relevant stakeholder throughout community oversees fundraising planning implementation including identifying resource requirement researching funding source establishing strategy approach funders submitting proposal administrating fundraising record documentation number oversee monitor apply funding yearly contract awarded following nm indian affair department nm department health albuquerque navajo nation various foundation otten kellogg first nation etc plan organize implement yearly event community summer solstice back school feed child halloween thanksgiving christmas yearly health fair evaluate work staff volunteer ensure program appropriate quality resource used effectively recruit interview hire sign volunteer staff serve community committee promote healthy family child reduce poverty unemployment substance abuse domestic violence maintain seek new relation senator representative official promote information aic impact service upon urban native american community current status regard grant funding obtained approximately number number funding awarded foundation navajo nation language bilingual spanish counseling webster university june number emphasis mental health substance abuse dual diagnosis emphasis school counseling elementary participated number clinical practicums total number hour earned supervision completed number hour coursework bachelor art psychology family study university new mexico may number obtained double major completed coursework psychology family study inducted psi chi national honor society psychology scholastic achievement actively participated student intern family study coursework requirement two different nonprofit organization dean list spring fall number number approach behavioral health chi interpersonal communication contract counseling client client department health documentation english event coordination fundraising marketing medium relation mental health excel exchange office power point microsoft word project coordination proposal psychology public speaking quality recruitment rehabilitation researching spanish supervision transportation tutoring,CONSULTANT,PUBLIC-RELATIONS
solution designer seeking planning engineer utilize ability industry offer security professional growth resourceful innovative flexible highlight package autocad primavera complete web client progress reporter team member office do digital designing video editing adobe photoshop page maker illustrator corel draw adobe preimere ulead video studio macromedia flash project computer fundamental information technology solution designer mar number current designing project manage site department specific requirement related project executed preparing ocs wir mir track site variation field instruction program update conjunction schedule material delivery status schedule drawing status schedule work place site histogram update form part weekly monthly report draughtsman cum site supervisor oct number jan number manage site department specific requirement related project executed designing project track site variation field instruction preparation quantity estimation working drawing program update conjunction schedule material delivery status schedule drawing status schedule work place site histogram update form part weekly monthly report monitoring coordinating professional consultant architecture interior structural preparation remedial program detailed program critical activity area co ordination contractor sub contractor preparation remedial program detailed program critical activity area co ordination contractor sub contractor preparation progress report reflects actual progress site main part monthly payment preparation extension time program delay caused additional work contract reviewing program efficiency analyzing efficiency preparation look aheads estimating weighted percentage liaison client representative consultant determine project scope work analyze monitoring construction site activity material supply labor work local payment etc draughtsman cum site supervisor apr number sep number manage site department specific requirement related project executed designing project track site variation field instruction preparation quantity estimation working drawing program update conjunction schedule material delivery status schedule drawing status schedule work place site histogram update form part weekly monthly report monitoring coordinating professional consultant architecture interior structural preparation remedial program detailed program critical activity area co ordination contractor sub contractor preparation remedial program detailed program critical activity area co ordination contractor sub contractor preparation progress report reflects actual progress site main part monthly payment preparation extension time program delay caused additional work contract reviewing program efficiency analyzing efficiency preparation look aheads estimating weighted percentage liaison client representative consultant determine project scope work analyze monitoring construction site activity material supply labor work local payment etc studying fort engineering trainee jun number feb number monitoring supervising concrete casting work day day inspection monitoring preparation project document preparation completion drawing monitoring coordinating professional preparation progress report reflects actual progress site attending weekly progress meeting monitoring construction site activity material supply labor work local payment paper work etc language known english ielts number number hindi malayalam tamil diploma diploma civil engineering number gurukulam campus india civil engineering government tamil nadu gurukulam campus thackalay h e government kerala mahathma college tirur l c government kerala personal information date birth th april number sex male passport j nationality indian marital status single permanent karatt house annara chattikkal p tirur pin number malappuram kerala india current location al sadd doha qatar adobe adobe photoshop autocad number c consultant corel draw client delivery designing do english estimating macromedia flash government drawing hindi illustrator information technology language material meeting office work page maker primavera progress reporter supervising video video editing additional information personal data date birth th april number sex male passport j nationality indian marital status single permanent karatt house annara chattikkal p tirur pin number malappuram kerala india current location al sadd doha qatar declaration hereby solemnly declare detail furnished true correct best knowledge belief place al sadd faithfully date zabeer k,DESIGNER,CONSTRUCTION
advocate seeking part time prn generalist human resource conflict resolution team building mentoring coaching new hire orientation disc personality assessment training development leadership development performance appraisal technical advocate number number current nf sg healthcare homeless veteran program coach mentor develop number client assistance career counseling complaint problem develop manage evaluate training organizational effectiveness strategy promote development skilled high performing motivated workforce focused achievement company key performance indicator develop career plan fit client aptitude level physical ability career goal serve internal consultant level management identify resolve issue employee retention skill development professional growth succession planning performance improvement partner business unit leader serve strategic resource assess company wide training development need well provide recommendation change evaluate motivate coach counsel number peer performance duty veteran affair specialist number number number number provided training career counseling placement service broad range client participated group orientation client promote development entry level career opportunity administered career scope assessment test number client identify skill building need attended meeting obtain information use training program inform management training program status employment representative number number number number presented information using variety instructional technique format role playing simulation team exercise group discussion video lecture provided leadership guidance new worker training resource material aid achieve training objective developed implemented number standard policy managed documentation information multimedia material conducted dozen quality analysis review designed training program professional development course facilitate meeting organizational goal individual professional need training coordinator number number number number evaluated training requirement division consulting department manager hr external resource managed process identifying addressing employee development opportunity focus group number degree assessment blended training solution include instructor led class case study self study mentoring program e learning coaching role play ojt web based training conducted number employee evaluation strength weakness performed cross training exercise competency efficiency developed document teaching procedure team number technical trainer encompassing instructional manual quick reference guide test result form acted liaison applying resolve handle variety hr function include benefit payroll award time attendance disciplinary action counseling evaluation conflict resolution retention effort management file evaluated developed requirement number diverse operational position well process improved productivity work center performance bachelor science human resource management number number university phoenix gpa gpa number number human resource management gpa number number lean six sigma certificate number north florida south georgia veteran health administration workshop gainesville fl writing advantage certificate number coaching toward high performance certificate number franklin covey seven habit highly effective leader certificate number motivational interviewing certificate number crucial conversation certificate number number villanova university benefit coach coaching conflict resolution consultant consulting counseling client documentation focus form hr instructor leadership material meeting mentor mentoring multimedia organizational payroll policy process quality quick six sigma strategic teaching employee development training program workshop additional information award recognition earned number year dedicated federal government service award number veteran affair award friend social work award number outstanding performance professional affiliation national society human resource management member jacksonville fl society human resource management member american federation government employee union member,ADVOCATE,HR
construction executive find internship profession gain exposure practice product design core qualification adobe photoshop illustrator autocad revit microsoft word excel powerpoint professional aug number current castle inspection service oregon california high value residential insurance appraiser appraise high value home oregon california replacement cost construction jul number jan number extensive remodeling project nov number internship supporting interior design project team researching material organizing material resource library account payable assistant jan number jan number handling petty cash data entry payroll distribution administrative duty bfa product design present university oregon product design bachelor interior architecture business administration number university oregon business administration undeclared number number university washington undeclared object impact digital illustration interior construction element furniture theory analysis color theory application rome program administrative duty adobe photoshop autocad color data entry digital illustration illustrator inspection insurance interior design material excel powerpoint microsoft word organizing payroll researching revit,CONSTRUCTION,DESIGNER
sale consultant current sophomore majoring sociology enjoys working interacting people technologically savvy quick learner strong work ethic ensures great leadership well great team member always willing put best effort work accomplish goal friendly positive attitude contributes pleasant work environment sale consultant number number number number processed customer payment uplifting friendly attitude addressed eliminated customer issue well ensured welcoming clean environment assisted customer purchase fulfill targeted company goal facilitator number number facilitated conversation native american history identity served college mentor advisor native american high school student interacted built relationship student week long program various reservation intern number number number number educated several native community healthcare benefit cooperated fellow intern community based event create execute company goal approached interacted individual discus healthcare option high school diploma number tse yi gai high school united state certification valedictorian extracurricular involvement student council peer helper honor society athletics native american club recipient national college prep scholar quest bridge columbia university united state graduation expected may number leadership mentor columbia mentoring initiative sept number present serve guide motivator first year columbia college student indigenous family group discus create personal mentorship academic goal attend bonding event mentee ensure healthy mental physical well powwow chair native american council columbia university apr number present co president native american heritage month apr number dec number planning organizing month long event represent native american identity also annual university powwow engage weekly meeting discus event planning peer advisor use leadership ability execute event timely organized manner critical thinking goal setting implementation teamwork proficient m word excel powerpoint,SALES,AGRICULTURE
school success advocate accomplishment ymca camp orkila orca island wa adventure team facilitator number facilitated low high challenge course element many group initiative rock climbing wall bmx course camp planned activity encourage personal growth led extensive training team building leadership completed number day intensive training facilitated synergo challenge course facilitation facilitated team building activity pushed youth identify limit challenge facilitated reflection activity encourage student learn experience accomplishment chosen girl lead facilitate group young female camper focused multi cultural leadership service wellness aided program coordination encouraged youth self awareness self confidence number number current school success advocate facilitate extended day program number high school freshman providing academic support assisting development social school success safe positive learning environment leadership communicate bilingually weekly basis student family conduct home visit hold family meeting serve liaison school family build relationship increase access information partner teacher counselor effort support student academic socio emotional growth develop facilitate school programming engages student ground community personal identity development tutor student core subject support understanding completion homework learning target provide one one group mentoring student school school experience administrative maintain accurate date record student grade attendance behavior participation program organize meeting teacher counselor administrator meet student need provide information referral student family needed service accomplishment achieve positive outcome participant recruitment retention overall student academic performance develop strong relationship student family school staff number number number number latino mentor program coordinator coordinated l mp ara latino adelante mentor program apoyo recursos acad micos aim offer benson latino high school student personalized mentorship academic support college preparation leadership development leadership offered student advocacy intervention supported student offering problem solving tool self motivation helped student identify strengthen leadership facilitated leadership workshop mentor session communicated student family spanish phone call email monthly latino parent meeting connected youth family network resource within beyond program school coordinated facilitated special event community service day visiting speaker college visit administrative administrative task program served program teacher counselor family administrator represented program answered question student parent community partner managed student record student time tracked student grade attendance behavior organized meeting teacher counselor administrator mentor student maintain awareness student academic progress maintained sensitive student family information confidential accomplishment received implemented art school grant funding regional art culture council series art identity workshop collaborated oye teatro milagro offer student gender sexuality training chaperoned student attendance psu ed cate conference annual c sar e ch vez leadership conference number number civic engagement intern organized managed causa volunteer engagement voter registration leadership coordinated meeting allied community organization facilitated voter registration naturalization ceremony canvassed driver card campaign registered new latino voter administrative managed maintained causa volunteer database volunteer recruitment efforst tracked volunteer engagement voter registration number number number number bilingual writing tutor provided student safe receptive space write tool needed approach academic writing confidence zeal leadership provided one one tutoring support challenge student approach writing curiosity used inquiry based learning technique guiding question develop student writing elicited critical thinking student encouraged student identify writing strength weakness taught student structure thesis statement topic sentence paragraph essay suggested brainstorming structuring strategy edited syntax grammar administrative managed registration record tracked student attendance number b environmental humanity politics whitman college gpa magna cum laude gpa number number environmental humanity politics magna cum laude gpa number number number internship causa portland community engagement intern number fundaci n ecol gica arcoiris loja ecuador whitman college gpa jan meier award best essay environmental study whitman college number lomen douglas scholarship whitman college number j pitt scholarship whitman college number john martha kelly scholarship whitman college number myers little scholarship jan meier award best essay environmental study whitman college number lomen douglas,ADVOCATE,ARTS
sale professional talented construction manager twenty year success various project independent contractor solid managing level small large scale project extensive preparation complete cost estimation accomplished completing project time budget strong leadership relationship building providing clear direction explanation plan contract term meticulous work proficient juggling multiple task working pressure take pride attention detail collaborate successfully architect owner construction staff complete multi million dollar project number number current sale sell rifle pistol shotgun accessory provide quality control federal required paperwork provide excellent customer service identifying customer company need provide company maintenance service competently install purchased accessory customer firearm number number number number broadcast engineer construction project manager reviewed plan spec schematic design pre construction completed tear existing structure prepared new construction coordinated utility service provider according project schedule obtained building specialty permit local jurisdictional agency conducted weekly production operation contractor meeting facilitated stronger communication ability resolve critical issue performed regular site observation provide direction general contractor personnel reported immediate supervisor production conformance contract schedule conducted critical pre installation conference general contractor subcontractor consultant manufacturer representative worked construction administration consultant plan field observation schedule digitally archived weekly progress technical knowledge base photograph assigned project prepared followed required punch list oversaw entire building turnover process enhancing communication construction managem assisted operation group warranty service repair determined project schedule included sequence construction activity prepared regular interval progress report offered technical assistance service provider conducted routine quality audit ensure work progressing per specification initiated corrective action guided directed third party inspector project construction commissioning closeout avoided construction delay efficiently following site inspection timely manner scheduled contractor material delivery implemented system improve process efficiency reduce project duration trained promoted continued onsite crew member number number number number plumber full time service repair plumber residential commercial site developed implemented successful contract platform research implemented leak detection unit built fostered strong relationship sacramento area restaurant community safety officer plumbing company conducting weekly safety meeting review developed taught plumbing code class new seasoned employee specialized replacing restaurant waste drain vent system keeping business open eliminated risk correctly identifying potential safety hazard interpreted blueprint determine location quantity size material required expanded trade knowledge networking colleague participating course seminar read blueprint determine appropriate material procedure project managed site hazard accurately locating biohazard low grade radiation chemical independently worked project offering process coordination cooperation team complied local plumbing code throughout duration project inspected structure avoid obstruction delay throughout project prepared detailed record project task start finish offered guidance training team member number high school diploma somerville high school number associate art math science somerset county collete math science number bachelor art broadcast communication geneva college broadcast communication blueprint read blueprint interpersonal communication conference customer relation excellent customer service direction hiring layout material meeting networking new construction personnel plumbing plumber improve process progress quality quality control repair research safety fm scheduling seminar tear technical assistance troubleshooting,SALES,CONSTRUCTION
lead artist fast learning enthusiastic animator seeking professional number year formal art training digital traditional skilled design character animation software animation toon boom harmony tv paint adobe flash illustration adobe photoshop adobe illustrator aseprite paintool sai gimp post production adobe effect adobe premiere final cut pro number number current lead artist design custom character sprite party menu screen background fitting number bit video game aesthetic upcoming dungeon dragon youtube series number number number number digital art assistant instructor assisted teaching digital art film photography minecraft modding coding animation kid age number number number number number number canvassing manager gathered donation aclu proposed employment non discrimination act protection lgbt people workplace number loyola marymount university united state bachelor art animation created two number minute animated short film peer designed programmed two game working knowledge industry standard animation program number da vinci design high school united state high school diploma art design project based learning published small comic book peer presented design karten design placed first team qualcomm tricorder x prize design competition,DIGITAL-MEDIA,ARTS
program administrator executive result focused management professional offering number year progressive leadership transforms high potential staff outstanding leader demonstrate creativity savvy critical financial operational success professional program administrator january number january number impart support program management team coordinated program manager corresponds customer managed difficult sensitive issue manage difficult sensitive issue interpreted technical information easy manner carried data input aid program manager develop cost baseline outlined memorandum agreement administer program personnel implemented disciplinary measure outline program information opportunity computed grant budget cuff account plan organize assign direct review evaluate work assigned staff motivate evaluate staff provide training professional development implement goal objective policy procedure work standard internal control plan organize implement multi faceted program activity identifying community citizen need recommending alternative enhanced program exercising sound independent judgment within general policy guideline prepare clear concise complete report written correspondence establish maintain effective working relationship contacted course work cbs banking representative january number january number provided excellent communication verbal written including ability listen explain complex subject convey solution calm clear manner client used excellent analytical superior level attention detail order adhere stringent bank policy procedure guideline client internal representative provided positive attitude enthusiasm professionalism strong work ethic high level integrity ethic client team member daily base collaborated relational work style proven success team environment provided intermediate advanced technical ability utilize number open program one time including window internet researching database system email used basic math including addition subtraction multiplication division along intermediate data entry typing daily provided multi tasking including limited speaking customer phone assessing need researching information computer documenting information one time assistant social service coordinator january number january number assisted providing expertise implementing quality control measure service delivery meet head start performance standard federal regulation agency outcome supervised early head start family support specialist oversee monitor day day service provided infant toddler pregnant woman family coordinated medical wellness coordinator assure screening assessment home visit completed worked closely home base family partnership coordinator provide service family ehs enrolled home based combination program option participate facilitate coordinate pregnant woman educational meeting conjunction home base family partnership coordinator help build collaboration community partner recruitment child family submitted weekly monthly report coordinator regarding finding center level quality service delivery compliance non compliance issue staffing need concern etc assisted coordinator establish community linkage maximize resource benefit head start early head start family contribute attaining agency kind goal participated ehs transition process assist preparation pir program information report yearly needed director january number january number served director program implemented new program service involving child supervised total number staff member number certified licensed therapist performed ongoing service family child developmental disability indiana first step number staff member operated performed program service family child wrote proposal organized first school program danville community school managed prepared annual department budget semi monthly payroll fiscal concern master degree public administration high point university public administration bachelor science human development family study indiana university human development family study family life educator certification service group facilitator certification adult basic ged consultant additional information volunteer facilitate number growth group monthly new direction christian church number number serve board member believer like u faith based organization domestic violence among christian number number organized provided event logistics annual kid fair danville number number assisted coordinating summer event banquet facility charles myers golf outing risk youth charlotte nc convention visitor bureau number number board member healthy start girl group number number board member community action agency number number volunteer ywca annual girl sport camp number number volunteer greensboro volunteer center annual human race walk number number analytical attention detail budget excellent communication concise consultant client data entry database,BANKING,ADVOCATE
